TentRepDisp(cm), TentRepAcc(g)
-1.189204483445534775e-02,-3.563999890753897603e-04
-1.178319650949344495e-02,-4.708367111566162644e-04
-1.159951650162543112e-02,-5.583584958653509600e-04
-1.133209403106582962e-02,-6.036864516346088141e-04
-1.097982300636431152e-02,-5.909833990138202518e-04
-1.055092253954740232e-02,-5.098716068883581013e-04
-1.006165732432919534e-02,-3.711219032039354436e-04
-9.533726494546533245e-03,-1.952273476567053644e-04
-8.992024522548474480e-03,2.040354663347709093e-07
-8.462130760603052762e-03,1.957652805446686932e-04
-7.968045431723384461e-03,3.751643161630875060e-04
-7.530391223012013364e-03,5.260360223765863860e-04
-7.163948333881445772e-03,6.300401508653702236e-04
-6.875782233666734820e-03,6.734810822587094722e-04
-6.665537142568228081e-03,6.593369057667981033e-04
-6.526675423381192095e-03,5.972951457897217320e-04
-6.448175924878105092e-03,5.017813682678329756e-04
-6.416405291140093829e-03,3.880364853023185912e-04
-6.415807260425959377e-03,2.584082284414264299e-04
-6.429169760331259094e-03,1.114172330866587327e-04
-6.438478122896718926e-03,-4.824703879274163662e-05
-6.425781522370620918e-03,-2.149361851650192395e-04
-6.374190332170458738e-03,-3.782613650524275931e-04
-6.268941358968355138e-03,-5.248209335137017303e-04
-6.097779464247994434e-03,-6.495098582821163223e-04
-5.851311924147358998e-03,-7.464709373503798781e-04
-5.523892693065786917e-03,-8.003658685442464372e-04
-5.114460472684546379e-03,-7.962861483542188826e-04
-4.627574749123552003e-03,-7.190534262747382607e-04
-4.074008031755565681e-03,-5.597200050320668731e-04
-3.469740146155707999e-03,-3.321725509215104418e-04
-2.834367035198315145e-03,-6.053329929813508828e-05
-2.189384188443834270e-03,2.332888959994139659e-04
-1.556481920788900823e-03,5.258285820334872643e-04
-9.571545020592697999e-04,7.996907608597335435e-04
-4.127375072345844018e-04,1.042010486324563417e-03
5.650350916647083082e-05,1.232309355340712375e-03
4.322281376779106262e-04,1.354436123724682721e-03
6.988130859675569179e-04,1.406992319611650435e-03
8.444156454957955395e-04,1.393958993734554109e-03
8.607820018026408676e-04,1.327256356278756462e-03
7.432834973450508495e-04,1.219223065454841165e-03
4.934890021429565524e-04,1.064651688465595306e-03
1.219727616472757160e-04,8.548167208343403472e-04
-3.497008036134488865e-04,5.885981481540236270e-04
-8.879412339803161892e-04,2.689090751932962610e-04
-1.449659745801039042e-03,-8.664901193466354725e-05
-1.986775279221277696e-03,-4.519609298297153966e-04
-2.449227103674810058e-03,-8.110522709482785022e-04
-2.788558396193177667e-03,-1.145690917048689580e-03
-2.963367660001424778e-03,-1.425653936233045333e-03
-2.944374706483208776e-03,-1.622212876120558960e-03
-2.719616934532908311e-03,-1.706177432868691106e-03
-2.298069910347831646e-03,-1.657600683925332559e-03
-1.707456516924626792e-03,-1.489459178626241454e-03
-9.891233678620660677e-04,-1.230962354012873645e-03
-1.935832819314752288e-04,-9.090561582321800629e-04
6.247024640698933904e-04,-5.544505042554714229e-04
1.412758237136500609e-03,-1.949344683991059745e-04
2.123721741429794151e-03,1.464329376930885917e-04
2.722334251679729440e-03,4.397597784401446625e-04
3.189167591126883684e-03,6.607442627632586357e-04
3.520054765679446820e-03,8.060403876945096890e-04
3.723137762326616390e-03,8.822757065826486922e-04
3.815841420949348233e-03,9.006337314114463500e-04
3.821173652290460986e-03,8.749502909350117489e-04
3.764364251378055169e-03,8.116168142565580428e-04
3.670176371287813682e-03,7.140482045007208326e-04
3.559628947178791140e-03,5.892097211021950351e-04
3.447364112497582501e-03,4.446764020479056245e-04
3.341718924182447616e-03,2.882577805994422778e-04
3.246239772446507955e-03,1.271744488467753929e-04
3.160930645128900117e-03,-3.234671542535817485e-05
3.084032671830155316e-03,-1.852875458048961962e-04
3.014607274402392612e-03,-3.311525130565651448e-04
2.954794938068312001e-03,-4.701480194055306073e-04
2.911939155445991256e-03,-5.983487601198074404e-04
2.900011490317876660e-03,-7.118829221902781869e-04
2.938089807775193154e-03,-8.049456002262075482e-04
3.047219555815754415e-03,-8.691758013027003254e-04
3.248493805830598730e-03,-9.047431221016427692e-04
3.560556221332489973e-03,-9.099230263072246097e-04
3.995239706578073216e-03,-8.664821976325273300e-04
4.553585497611129136e-03,-7.556013608120199692e-04
5.221963414757473630e-03,-5.632286688738904470e-04
5.969643249894656355e-03,-2.826804509113375625e-04
6.751971795989515461e-03,6.438667965200924959e-05
7.516320664196072220e-03,4.417168566125841264e-04
8.206646567783340909e-03,8.244512860383968779e-04
8.768779924507204282e-03,1.183823199857653293e-03
9.156581843100978363e-03,1.480716437363313511e-03
9.337165412584301494e-03,1.680351985872058753e-03
9.297085066612954807e-03,1.743664985275948090e-03
9.046638861199097353e-03,1.644073939957159218e-03
8.617125758450564291e-03,1.401247601183308643e-03
8.054915249688333542e-03,1.055961157539603550e-03
7.415674623780420249e-03,6.467886398944463783e-04
6.757928674919660809e-03,2.165647403007308280e-04
6.138402284900180104e-03,-2.026540951198552718e-04
5.608727390172693616e-03,-5.874744960519118339e-04
5.210182940516719027e-03,-9.011710105248862826e-04
4.969590569282695929e-03,-1.114883914504101025e-03
4.899435295888461897e-03,-1.228500897334940936e-03
4.999633582544575801e-03,-1.253064662326818521e-03
5.260766397188930237e-03,-1.210192736536672489e-03
5.667560228593437888e-03,-1.122997871207025503e-03
6.198838903629610292e-03,-9.892988259475640322e-04
6.826457622213757265e-03,-8.000966559228431989e-04
7.515875832392049372e-03,-5.579115267346165547e-04
8.227093622453572619e-03,-2.685832083308236479e-04
8.917016345471052638e-03,4.924802000898269782e-05
9.542789559251543818e-03,3.688862939459956010e-04
1.006324844282448921e-02,6.775330989537359586e-04
1.044064479667625861e-02,9.601659279823806289e-04
1.064482041623006012e-02,1.184724952537186994e-03
1.065738666810699294e-02,1.319741036092193830e-03
1.047584208144948861e-02,1.333266166776544883e-03
1.011631386770338835e-02,1.204031073883839523e-03
9.611146698419619980e-03,9.505542458193379143e-04
9.004030669436217937e-03,6.100276512772411950e-04
8.345789319076878793e-03,2.155852026141840739e-04
7.689668839369229701e-03,-1.960208152137097801e-04
7.087152957754642296e-03,-5.944056204470389050e-04
6.584604001586604957e-03,-9.559176728025429830e-04
6.218565586993210666e-03,-1.245832376712144654e-03
