BCRepDisp(cm), BCRepAcc(g)
2.124646619413122495e-01,7.032931053808819111e-02
2.129810427901392966e-01,7.071689792713645173e-02
2.146193345724927981e-01,6.058720588519873884e-02
2.269237688765833871e-01,6.534852355174103344e-02
2.353244006111888387e-01,6.820630809555922047e-02
2.397930896333649864e-01,6.902904093064285429e-02
2.406117609531662482e-01,6.795312395549520101e-02
2.445329212187522527e-01,6.594543397185273492e-02
2.609820328584362970e-01,7.403813405903540701e-02
2.700217860674899994e-01,7.984343515060414453e-02
2.715395176504217245e-01,8.278762726462900179e-02
2.799959150866294100e-01,6.249151104614486529e-02
2.852348500617829519e-01,3.811044196598987327e-02
3.032146958602722764e-01,4.455295018223026648e-02
3.196918914907906362e-01,5.044124651806376064e-02
3.348011792229673156e-01,5.556319151132474432e-02
3.488853044244297763e-01,5.980296271939215119e-02
3.623977661770159120e-01,6.321900684091458222e-02
3.757756768471693931e-01,6.603108027044048145e-02
3.892990522045206014e-01,6.840856670512666937e-02
4.029709197289280675e-01,7.045092554670259744e-02
4.164757013093012272e-01,7.218059292348191769e-02
4.292081238139378030e-01,7.348669697248308430e-02
4.403180665238550784e-01,7.428893513127453330e-02
4.487938210028512565e-01,7.449757035844839503e-02
4.536056533106845867e-01,7.383557498557069554e-02
4.538799544766589089e-01,7.194442915586900245e-02
4.561144839506913740e-01,3.334056972491711290e-02
4.658527417813586591e-01,3.632118114356831101e-02
4.718077111349456287e-01,3.802863272889195345e-02
4.737946680162466451e-01,3.849106897175409020e-02
4.759366398054394320e-01,6.270379917965846969e-03
4.869164989753274608e-01,1.065911339883317092e-02
4.976190497015322567e-01,1.473079724646698604e-02
5.078542163185408853e-01,1.849698408199455107e-02
5.173541729416906154e-01,2.204979516094473374e-02
5.257842700594360652e-01,2.514481059219565717e-02
5.328029146322909027e-01,2.738169783030116114e-02
5.381165293793768178e-01,2.849795030823457434e-02
5.415457552851526968e-01,2.830835626305312422e-02
5.430741545620014765e-01,2.688016215072886600e-02
5.528859870353055594e-01,5.525681994193981650e-03
5.685847117101312520e-01,8.080282350615641818e-03
5.909184390704194101e-01,1.349806313603671426e-02
6.203966491289772955e-01,2.194285978364148015e-02
6.570148922812486525e-01,3.336621502435153930e-02
7.001087571004799281e-01,4.759988371870778334e-02
7.482749694283705733e-01,6.420783839451105202e-02
7.994155354068082087e-01,8.249995614157697166e-02
8.509142402845487618e-01,1.015423734927819038e-01
8.999101461691755288e-01,1.201316942757659767e-01
9.436290750674477534e-01,1.370553488434196332e-01
9.797091281447641853e-01,1.511995968152154979e-01
1.006423821011904529e+00,1.616009204102023256e-01
1.022798267669849936e+00,1.675787766477060403e-01
1.028688108502750165e+00,1.685914870726279158e-01
1.122936503077264225e+00,2.890273775999461781e-01
1.243824783057176475e+00,3.406957937843754225e-01
1.344433854428723540e+00,3.847874454204763817e-01
1.421105144767398576e+00,4.190751346021271972e-01
1.470998946454975975e+00,4.418116056101580869e-01
1.492270328944939717e+00,4.519358575741944106e-01
1.550665654810037042e+00,1.680574643110904764e-01
1.653865774528543442e+00,2.047688996532041616e-01
1.747122740607611746e+00,2.393285678703964137e-01
1.827780118194620496e+00,2.702293953983901376e-01
1.893785506730379709e+00,2.961095049358432041e-01
1.943706754041176543e+00,3.160412215451279261e-01
1.976639058555480943e+00,3.296729128329038971e-01
1.992199210025885625e+00,3.363724386169941738e-01
2.099886713964564500e+00,2.537874566391590259e-01
2.199068691469773906e+00,2.956103386439773995e-01
2.286017933859003648e+00,3.321476330601471627e-01
2.359297229479619062e+00,3.631593939092952472e-01
2.417508080553804728e+00,3.883409872768500137e-01
2.458839649157942731e+00,4.072790149426512851e-01
2.480954342110211819e+00,4.192686482404079928e-01
2.481179833708704319e+00,4.232414506209721816e-01
2.563694430319202855e+00,7.863680650259740057e-01
2.756882203140029741e+00,8.632706487638651671e-01
2.876134715803627007e+00,9.144420491959064368e-01
2.914050909445431436e+00,9.374652617661594078e-01
2.935847948650394557e+00,7.337485276544699619e-01
3.164202060962712615e+00,8.097973418859623074e-01
3.355216735712416298e+00,8.734482408050070479e-01
3.504779302953494824e+00,9.232050484342850805e-01
3.608429959173486967e+00,9.582761780272108787e-01
3.661491018650518736e+00,9.763179311130517624e-01
4.060424456792168790e+00,5.277795632146164984e-01
4.638283535901429389e+00,6.658507598540800432e-01
5.263560584290896571e+00,7.868589707637039243e-01
5.909449438674235999e+00,8.959636554366318117e-01
6.555537981749534282e+00,9.950762133060566672e-01
7.183479110919239297e+00,1.084475202085338319e+00
7.775323802344548341e+00,1.163468936741378634e+00
8.313050085821348745e+00,1.230830630712670404e+00
8.779083409658072767e+00,1.283921755434521472e+00
9.157416413839829517e+00,1.319253085567172024e+00
9.434806756179826337e+00,1.334188699552543378e+00
9.601906055395653894e+00,1.326878732685001783e+00
9.653992702921785352e+00,1.296319328995897635e+00
